num,acri_fish/t,acri_shellfish/t,acri_seaweed/t,Year
1,38356.8,78527.4,28615.1,2016
2,29065,49312,11125,2016
3,25202,51551,66902,2016
4,23778.2,8062.6,73472.9,2016
5,0,0,0,2016
1,45275.5,81062.8,29061.4,2017
2,30836,45157,11879,2017
3,28007,55373,72040,2017
4,26077.5,8348.2,77317.6,2017
5,0,0,0,2017
1,48921,73220.4,28970.2,2018
2,33807,47122,12933,2018
3,33126,58034,74192,2018
4,27854,9796.6,78173.8,2018
5,0,0,0,2018
1,53868.4,77160.8,28704.9,2019
2,36181,48901,13552,2019
3,39051,66887,74062,2019
4,29168.6,13327.2,84776.1,2019
5,0,0,0,2019
1,55402.5,67394.5,40973.6,2020
2,38400,46770,14145,2020
3,37743,70504,70189,2020
4,33108.5,13670.5,82398.4,2020
5,0,0,0,2020
