Region,na mg N/m3,ca mg C/m3,Year
1,0.849491181,5.309319882,2016
2,0.664644366,4.154027289,2016
3,2.070704676,12.94190423,2016
4,0.859297566,5.370609789,2016
5,0.00001,0.0000625,2016
1,0.862740407,5.392127542,2017
2,0.709690825,4.435567655,2017
3,2.229732517,13.93582823,2017
4,0.904263007,5.651643795,2017
5,0.00001,0.0000625,2017
1,0.860032969,5.375206058,2018
2,0.772660278,4.829126735,2018
3,2.296339741,14.35212338,2018
4,0.914276639,5.714228995,2018
5,0.00001,0.0000625,2018
1,0.852157057,5.325981607,2019
2,0.809641389,5.060258681,2019
3,2.29231607,14.32697544,2019
4,0.991493413,6.196833833,2019
5,0.00001,0.0000625,2019
1,1.216375685,7.602348031,2020
2,0.845069174,5.281682337,2020
3,2.172441639,13.57776024,2020
4,0.963685176,6.023032351,2020
5,0.00001,0.0000625,2020
