time,tp,value
2015-7-3 0:00,nh4,0.001
2016-4-21 0:00,nh4,0.00233
2016-7-18 0:00,nh4,0.00267
2016-10-24 0:00,nh4,0.00467
2017-3-18 0:00,nh4,0.01433
2017-7-5 0:00,nh4,0.01633
2017-9-7 0:00,nh4,0.00867
2018-5-4 0:00,nh4,0.03567
2018-7-14 0:00,nh4,0.02833
2018-10-16 0:00,nh4,0.00733
2019-5-10 0:00,nh4,0.026
2019-4-29 0:00,nh4,0.017
2019-8-15 0:00,nh4,0.01967
2019-8-15 0:00,nh4,0.02667
2019-10-11 0:00,nh4,0.01633
2019-10-26 0:00,nh4,0.032
2020-5-14 0:00,nh4,0.0675
2020-8-1 0:00,nh4,0.00285
2020-11-22 0:00,nh4,0.01275
2021-5-1 0:00,nh4,0.05667
2015-7-3 0:00,no3,0.133
2016-4-21 0:00,no3,0.099
2016-7-18 0:00,no3,0.05
2016-10-24 0:00,no3,0.2857
2017-3-18 0:00,no3,0.327
2017-7-5 0:00,no3,0.0773
2017-9-7 0:00,no3,0.072
2018-5-4 0:00,no3,0.1137
2018-7-14 0:00,no3,0.2197
2018-10-16 0:00,no3,0.355
2019-5-10 0:00,no3,0.3957
2019-4-29 0:00,no3,0.202
2019-8-15 0:00,no3,0.0687
2019-8-15 0:00,no3,0.139
2019-10-11 0:00,no3,0.282
2019-10-26 0:00,no3,0.4048
2020-5-14 0:00,no3,0.1422
2020-8-1 0:00,no3,0.08
2020-11-22 0:00,no3,0.314
2021-5-1 0:00,no3,0.3357
