Zone,NH4,NO3,ON,PO4,OP,CBOD,DO,,,
zone1,2543.346685,17762.07156,0,112.474163,0,0,0,,,
zone2,4891.864779,34163.51094,0,216.332441,0,0,0,,,
zone3,5178.281353,36163.76978,0,228.9986122,0,0,0,,,
zone4,5398.767573,37703.58817,0,238.749152,0,0,0,,,
zone5,4515.457052,31534.77729,0,199.6866002,0,0,0,,,
zone6,8167.738807,29106.40354,0,184.3094914,0,0,0,,,
zone7,3464.684267,24196.45354,0,153.2183817,0,0,0,,,
zone8,4510.053311,31497.03898,0,199.4476311,0,0,0,,,
zone9,5291.416392,36953.87545,0,234.0017716,0,0,0,,,
zone10,3910.544245,27310.22363,0,172.9356024,0,0,0,,,
zone11,4269.544418,29817.38744,0,188.8116307,0,0,0,,,
zone12,5192.336331,36261.92609,0,229.6201641,0,0,0,,,
zone13,6225.573436,43477.78522,0,275.312904,0,0,0,,,
zone14,6474.732015,51250.36424,0,197.885621,0,0,0,,,
zone15,4126.731374,28820.01829,0,182.4960239,0,0,0,,,
zone16,3649.367477,25486.23303,0,161.3856086,0,0,0,,,
zone17,3760.152453,26259.92648,0,166.2848414,0,0,0,,,
zone18,3046.228788,21274.06934,0,134.7130674,0,0,0,,,
zone19,3487.375095,24354.92038,0,154.2218359,0,0,0,,,
zone20,5712.102259,39891.8361,0,252.6057201,0,0,0,,,
